EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
STARIMAG IN Equity,STAR IMAGING AND,2101723000.00,2101723000.00,120.65,,,835001000.00
KPT IN Equity,KPT INDUSTRIES L,2101200000.00,2101200000.00,618.00,15.09,-35.51,1660512000.00
PGF IN Equity,PG FOILS LTD,2099510000.00,2099510000.00,178.00,8.71,-23.33,4914015000.00
INFINITY IN Equity,INFINITY INFOWAY,2099405000.00,2099405000.00,385.00,,,131923000.00
QUESTFLO IN Equity,QUEST FLOW CONTR,2097683903.50,2097683903.50,204.50,30.57,-64.48,672124000.00
BDHI IN Equity,BDH INDUSTRIES,2097672255.00,2097672255.00,364.35,22.62,6.76,654556000.00
SCPL IN Equity,SHEETAL COOL PRO,2096430000.00,2096430000.00,199.66,12.65,-37.55,3213058000.00
NTCP IN Equity,NATURAL CAPSULES,2095498308.26,2095498308.26,188.44,315.63,-30.61,1641512000.00
DUGLOBAL IN Equity,DUDIGITAL GLOBAL,2094103206.25,2094103206.25,29.15,59.49,-55.02,481586000.00
SETC IN Equity,SETCO AUTOMOTIVE,2093457853.75,2093457853.75,15.65,,-14.85,7186300000.00
SHUBHSHR IN Equity,SHUBHSHREE BIOFU,2086316000.00,2086316000.00,398.00,,6.23,941460000.00
SWG IN Equity,NARMADA GELATINE,2081057928.00,2081057928.00,344.00,11.54,-8.06,1889207000.00
NEPHROCA IN Equity,NEPHRO CARE INDI,2080583680.00,2080583680.00,126.20,,-31.41,170927000.00
PATELCHE IN Equity,PATEL CHEM SPECI,2066697000.00,2066697000.00,83.10,,,1050878000.00
GRCL IN Equity,GAYATRI RUBBERS,2065680000.00,2065680000.00,360.00,,-20.70,167372000.00
GOLDSTAR IN Equity,GOLDSTAR POWER L,2060629200.00,2060629200.00,7.20,80.00,-35.14,483813029.00
KSI IN Equity,KESORAM INDS LTD,2055328716.84,2055328716.84,6.54,,407.32,2587600000.00
PROPEQUI IN Equity,PE ANALYTICS LTD,2054492384.00,2054492384.00,196.00,15.47,-25.76,506902000.00
HOC IN Equity,HINDUSTAN ORGAN,2052138205.00,2052138205.00,30.55,0.53,-25.36,5358676000.00
COVANCE IN Equity,COVANCE SOFTSOL,2043146874.58,2043146874.58,92.26,,,611712000.00
NSBBPO IN Equity,NSB BPO SOLUTION,2040200374.95,2040200374.95,102.15,,,1381195000.00
MCER IN Equity,MURUDESHWAR CER,2040104393.60,2040104393.60,35.36,21.57,-30.44,2028637000.00
PRITIKA IN Equity,PRITIKA ENGINEER,2039335070.50,2039335070.50,77.35,35.48,-25.80,1173836000.00
EMAPARTN IN Equity,EMA PARTNERS IND,2034062275.00,2034062275.00,87.50,13.00,,739310000.00
PES IN Equity,PRAJAY ENGINEERS,2031634728.55,2031634728.55,29.05,,-1.56,574554000.00
OSIAJEE IN Equity,OSIAJEE TEXFAB,2025000000.00,2025000000.00,375.00,30.72,646.12,83982000.00
CHATHA IN Equity,CHATHA FOODS PVT,2022877836.00,2022877836.00,84.00,31.46,-36.36,1571659000.00
HCPPB IN Equity,HCP PLASTENE BUL,2021814127.80,2021814127.80,189.40,21.00,24.45,4634354000.00
STRAT IN Equity,STRATMONT INDUST,2018219861.60,2018219861.60,70.82,194.85,-40.34,927017000.00
RANA IN Equity,RANA SUGARS LTD,2014809798.40,2014809798.40,13.12,5.86,-29.99,17127902000.00
CPCAP IN Equity,CP CAPITAL LTD,2014504135.47,2014504135.47,110.73,5.29,-55.53,566313000.00
JUSTO IN Equity,JUSTO REALFINTEC,2013281008.20,2013281008.20,107.10,,,813519000.00
MCEL IN Equity,MACH CONFERENCES,2013250470.00,2013250470.00,95.70,14.21,-58.46,2357472771.00
LAXMIPA IN Equity,LAXMIPATI ENGINE,2012912400.00,2012912400.00,349.95,21.67,45.72,548986000.00
PURVFLEX IN Equity,PURV FLEXIPACK L,2012245725.00,2012245725.00,95.90,24.04,-43.72,2541771000.00
ADCH IN Equity,AKSHARCHEM INDIA,2010684679.70,2010684679.70,250.30,42.14,-17.09,3462652000.00
CMR IN Equity,COCHIN MINERALS,2006046000.00,2006046000.00,256.20,8.51,-6.45,3190632000.00
KATARIA IN Equity,KATARIA INDUSTRI,2003481323.70,2003481323.70,93.05,14.72,-41.09,3391270000.00
KRITIKA IN Equity,KRITIKA WIRES LT,1999762800.00,1999762800.00,7.51,19.76,-34.18,7449836000.00
ETML IN Equity,EMERALD TYRE MAN,1999263956.80,1999263956.80,102.65,19.15,-42.41,1994680000.00
CFER IN Equity,COSMO FERRITES,1998183000.00,1998183000.00,166.10,,-50.05,856600000.00
FIDEL IN Equity,FIDEL SOFTECH LT,1992456144.00,1992456144.00,144.90,21.50,-21.31,548054000.00
SPTX IN Equity,SWADESHI POLYTEX,1991730000.00,1991730000.00,51.07,88.05,-44.60,4000000.00
JFD IN Equity,BAMBINO AGRO IND,1986994692.60,1986994692.60,248.10,21.56,-30.97,3666328000.00
WB IN Equity,WATERBASE LTD,1983928446.31,1983928446.31,47.89,,-36.13,2694182000.00
VNT IN Equity,VINTRON INFO LTD,1976546234.60,1976546234.60,13.51,6.86,-65.45,1741205000.00
CECL IN Equity,COROMANDEL ENGIN,1973704922.04,1973704922.04,56.58,471.50,3.93,312889000.00
ATV IN Equity,ATV PROJECTS,1970125293.25,1970125293.25,37.09,26.68,-2.14,705686000.00
AERONEU IN Equity,AEROFLEX NEU LTD,1969524600.00,1969524600.00,76.35,848.33,-11.30,1282835000.00
GOURMET IN Equity,GOURMET GATEWAY,1968388714.98,1968388714.98,14.66,,-40.14,1657362000.00
BRNL IN Equity,BHARAT ROAD NETW,1965269500.00,1965269500.00,23.41,1.39,-48.59,2742863000.00
DJML IN Equity,DJ MEDIAPRINT &,1957322647.53,1957322647.53,59.53,28.76,-65.55,820882000.00
SMDFC IN Equity,SOM DATT FIN,1956558135.00,1956558135.00,115.00,,17.49,-30248000.00
PARMESHW IN Equity,PARMESHWAR METAL,1955953740.00,1955953740.00,127.79,,,11002281000.00
NECCLT IN Equity,NORTH EASTERN,1955000000.00,1955000000.00,19.55,18.30,-44.71,3287247000.00
RRFC IN Equity,RR FINANCIAL CON,1951107480.00,1951107480.00,176.40,78.05,842.81,268001000.00
LOYAL IN Equity,LOYAL EQUIPMENTS,1948674000.00,1948674000.00,180.60,18.28,-34.03,753001000.00
SIZEMAST IN Equity,SIZEMASTERS TECH,1944000000.00,1944000000.00,194.40,80.00,42.99,168860000.00
CPS IN Equity,CPS SHAPERS LTD,1943021700.00,1943021700.00,878.75,1141.23,39.01,308570000.00
YT IN Equity,YASH TRADING,1940000000.00,1940000000.00,194.00,,807.39,0.00
GLEN IN Equity,GLEN INDUSTRIES,1938865194.60,1938865194.60,80.58,,,1706609000.00
PAUL IN Equity,PAUL MERCHANTS L,1937214600.00,1937214600.00,628.15,,-33.46,33318536000.00
MCHP IN Equity,MACHINO PLASTICS,1934012520.00,1934012520.00,315.15,22.61,29.58,3887434000.00
EMMB IN Equity,EMMBI INDUSTRIES,1930566685.00,1930566685.00,100.34,29.76,-37.84,4041800000.00
GALLARD IN Equity,GALLARD STEEL LT,1928025000.00,1928025000.00,202.95,,,533180000.00
LAWSIKHO IN Equity,ADDICTIVE LEARNI,1925077572.00,1925077572.00,121.00,20.34,-66.57,657944000.00
SPCL IN Equity,SHIVALIC POWER C,1924437169.20,1924437169.20,79.80,14.51,-66.03,1323571000.00
GWOS IN Equity,GLOBAL OFFSHORE,1923002359.65,1923002359.65,62.55,45.06,-44.72,327496000.00
MO IN Equity,MARAL OVERSEAS,1918914840.00,1918914840.00,46.23,,-43.98,10470300000.00
DESTINY IN Equity,DESTINY LOGISTIC,1915806000.00,1915806000.00,124.50,,-22.48,100578758.00
URAVIDEF IN Equity,URAVI DEFENCE AN,1913718000.00,1913718000.00,167.87,75.11,-58.81,436325000.00
RAJINDLT IN Equity,RAJPUTANA INDUST,1908268500.00,1908268500.00,85.90,,8.05,3265056000.00
TAURIAN IN Equity,TAURIAN MPS LTD,1908111360.00,1908111360.00,214.80,,,733310000.00
PLS IN Equity,SAMBHAAV MEDIA,1905375074.80,1905375074.80,9.97,498.50,27.82,418713000.00
JMAD IN Equity,JULLUNDUR MOTOR,1902202977.12,1902202977.12,83.28,7.43,-11.85,5320890000.00
KORE IN Equity,JAY JALARAM TECH,1900000000.00,1900000000.00,160.00,29.96,-55.56,6674645000.00
JKAGL IN Equity,JK AGRI GENETICS,1896749715.15,1896749715.15,409.05,,-5.60,1617873000.00
ABAN IN Equity,ABAN OFFSHORE,1894538384.58,1894538384.58,32.46,,-48.79,4512190000.00
LHL IN Equity,LANCOR HOLDINGS,1893926920.00,1893926920.00,25.75,40.23,-24.44,1896024000.00
DIK IN Equity,DAI-ICHI KARKARI,1892984727.45,1892984727.45,254.05,30.63,-34.71,1813800000.00
OMAX IN Equity,OMAX AUTOS LTD,1892856850.50,1892856850.50,88.50,8.79,-23.59,3556782000.00
SDREAMS IN Equity,S D RETAIL LTD,1886280389.50,1886280389.50,100.75,,-41.39,1625589000.00
KEYFINSE IN Equity,KEYNOTE FINANCIA,1886254947.45,1886254947.45,338.85,12.95,36.18,283162000.00
BALAXI IN Equity,BALAXI PHARMACEU,1882575750.00,1882575750.00,34.10,7.51,-52.84,2925612000.00
7SEAS IN Equity,7SEAS ENTERTAINM,1879533029.00,1879533029.00,84.20,112.27,10.35,163429000.00
KCEIL IN Equity,KAY CEE ENERGY &,1875772800.00,1875772800.00,153.45,20.16,-55.65,644652000.00
NAPT IN Equity,NATIONAL PLASTIC,1873949139.00,1873949139.00,308.30,20.76,-24.26,3106439000.00
SABI IN Equity,SAB INDUSTRIES L,1871600097.90,1871600097.90,123.05,,-37.98,469123000.00
SHARVAYA IN Equity,SHARVAYA METALS,1870595000.00,1870595000.00,186.50,,,1125166000.00
SCAS IN Equity,SCAN STEELS LTD,1870585256.40,1870585256.40,31.92,8.65,-31.72,7417616000.00
NITIRAJ IN Equity,NITIRAJ ENGINEER,1870499970.00,1870499970.00,182.47,38.74,-19.05,765172000.00
DGCONTEN IN Equity,DIGICONTENT LTD,1869550816.14,1869550816.14,32.13,7.69,-45.82,4428500000.00
WINSOL IN Equity,WINSOL ENGINEERS,1868702400.00,1868702400.00,162.00,15.85,-40.50,1114185000.00
BILC IN Equity,BILCARE LTD,1867136818.30,1867136818.30,79.30,,20.94,7880364000.00
PRIMECAB IN Equity,PRIME CABLE INDU,1864473105.00,1864473105.00,101.75,,,1409772000.00
VEGA IN Equity,VEGA JEWELLERS L,1864049503.40,1864049503.40,193.30,49.82,1199.93,103028000.00
AGOL IN Equity,ASHAPURI GOLD OR,1863228982.94,1863228982.94,5.59,14.71,-36.19,3171985000.00
BARFLEX IN Equity,BARFLEX POLYFILM,1852462650.00,1852462650.00,74.85,11.96,,975418000.00
ITFL IN Equity,INDIAN TERRAIN F,1847838874.49,1847838874.49,36.47,,-23.99,3406000000.00
SPECTSTM IN Equity,SPECTRUM TALENT,1847447680.00,1847447680.00,80.00,15.09,-58.37,10162010000.00
WOMANCAR IN Equity,WOMANCART LTD,1844856000.00,1844856000.00,292.50,,-22.05,96430840.00
GPPE IN Equity,GP PETROLEUMS LT,1843085445.45,1843085445.45,36.15,7.01,-33.51,6092656000.00
SDTL IN Equity,STAR DELTA TRANS,1838822580.00,1838822580.00,612.90,17.30,-32.46,1418643000.00
AARVI IN Equity,AARVI ENCON LTD,1837859763.00,1837859763.00,124.09,18.28,-6.14,5040768000.00
ALUWIND IN Equity,ALUWIND INFRA TE,1837466709.00,1837466709.00,73.95,,30.42,
PRLIND IN Equity,PREMIER ROADLINE,1837005651.45,1837005651.45,80.35,10.71,-30.04,2285431000.00
CAPI IN Equity,CAPTAIN PIPES LT,1836055360.00,1836055360.00,11.95,40.23,-38.43,767492000.00
JAINIK IN Equity,JAINIK POWER CAB,1835788215.00,1835788215.00,127.95,,,3516895000.00
MADHUSUD IN Equity,MADHUSUDAN MASAL,1830455000.00,1830455000.00,126.50,14.90,-41.81,2165000000.00
CHL IN Equity,CHL LTD,1827641788.60,1827641788.60,33.34,,-21.65,1381237000.00
QUINT IN Equity,QUINT DIGITAL LT,1825019409.44,1825019409.44,38.68,,-52.09,318114000.00
DUROPLY IN Equity,DUROPLY INDUSTRI,1815462670.30,1815462670.30,167.35,21.24,-30.13,3717915000.00
ACEALPHA IN Equity,ACE ALPHA TECH L,1807616072.30,1807616072.30,102.95,12.88,,155341000.00
AESTHETI IN Equity,AESTHETIK ENGINE,1807257366.25,1807257366.25,104.95,30.78,49.93,578827000.00
ASPINWAL IN Equity,ASPINWALL & CO L,1806024528.00,1806024528.00,231.00,6.33,-22.89,2914900000.00
OVBF IN Equity,OVOBEL FOODS LTD,1803726880.00,1803726880.00,189.85,19.92,80.72,1885869000.00
BLUEGOD IN Equity,BLUEGOD ENTERTAI,1800301606.50,1800301606.50,3.27,11.68,275.89,22971000.00
OSWO IN Equity,OSWAL OVERSEAS,1793587480.00,1793587480.00,138.80,,2600.39,676262894.00
PSO IN Equity,PANCHSHEEL ORGAN,1793333762.50,1793333762.50,136.15,13.00,-33.21,1070918000.00
RAJPUTAN IN Equity,RAJPUTANA BIODIE,1793190825.00,1793190825.00,254.95,,-18.59,234085000.00
OLIL IN Equity,ONECLICK LOGISTI,1791769767.05,1791769767.05,320.35,54.39,205.39,449000000.00
ERNI IN Equity,EXCEL REALTY N I,1791582719.85,1791582719.85,1.27,127.00,18.69,136268950.00
RTMC IN Equity,RAJASTHAN TUBE,1790948940.00,1790948940.00,39.73,367.87,353.02,563408000.00
REGGOLD IN Equity,INVESCO GOLD ETF,1790199848.00,1790199848.00,11247.80,,67.88,
KODL IN Equity,KORE DIGITAL LTD,1789772400.00,1789772400.00,148.85,5.57,-74.77,3278163000.00
CEXT IN Equity,CENTURY EXTRUS,1788000000.00,1788000000.00,22.35,18.02,-8.10,4312500000.00
SADE IN Equity,SADBHAV ENGINEER,1787767736.00,1787767736.00,10.42,,-61.25,10364453000.00
ALANSCOT IN Equity,ALAN SCOTT ENTER,1786809520.00,1786809520.00,328.00,,83.14,286887000.00
ESSENTIA IN Equity,INTEGRA ESSENTIA,1783043208.48,1783043208.48,1.67,41.75,-49.85,4417280000.00
PHAD IN Equity,PHARMAIDS PHARMA,1781024506.00,1781024506.00,50.50,,-28.35,188129000.00
QMSMEDI IN Equity,QMS MEDICAL ALLI,1777116250.00,1777116250.00,91.90,,-17.67,727396000.00
PLAZACAB IN Equity,PLAZA WIRES LTD,1776771887.58,1776771887.58,40.61,61.53,-47.22,2181750000.00
SBJA IN Equity,SHRI BAJRANG ALL,1776150000.00,1776150000.00,197.35,5.45,-7.50,3983581000.00
OPTIVALU IN Equity,OPTIVALUE TEK CO,1775754690.00,1775754690.00,75.85,10.22,,560785000.00
DOLFIN IN Equity,DOLFIN RUBBERS L,1775290884.00,1775290884.00,177.00,34.64,-17.31,1435858000.00
DHARAN IN Equity,DHARAN INFRA-EPC,1773478267.00,1773478267.00,0.34,,-60.69,179924000.00
ACTIVE IN Equity,ACTIVE CLOTHING,1773046174.50,1773046174.50,114.30,20.97,5.35,2961545000.00
SONAMLTD IN Equity,SONAM LTD,1772216640.00,1772216640.00,44.27,112.79,-33.48,379284791.40
LKEC IN Equity,LAKSHMI ELEC CON,1770743200.00,1770743200.00,720.40,51.02,-41.31,2123122000.00
CANARYS IN Equity,CANARYS AUTOMATI,1770219697.35,1770219697.35,30.95,7.90,-19.71,745194000.00
SVET IN Equity,SAVERA IND LTD,1770115200.00,1770115200.00,148.40,13.37,-9.55,796569000.00
INCREDIB IN Equity,INCREDIBLE INDUS,1764863925.00,1764863925.00,37.74,13.98,-18.08,7561448000.00
SCMLD IN Equity,SHARP CHUCKS & M,1764451113.60,1764451113.60,153.30,29.59,27.48,1764497000.00
DCM IN Equity,DCM LTD,1763739838.07,1763739838.07,94.43,8.05,-10.14,690400000.00
DUNCAN IN Equity,DUNCAN ENGINEERI,1763731200.00,1763731200.00,477.20,33.84,-2.93,847135000.00
XELP IN Equity,XELPMOC DESIGN &,1762726248.99,1762726248.99,119.43,,-10.41,38984730.00
BWSY IN Equity,BSL LTD,1758519824.48,1758519824.48,170.86,21.55,-37.25,6670605000.00
SATTRIX IN Equity,SATTRIX INFORMAT,1754400000.00,1754400000.00,258.00,41.15,72.06,446317000.00
ROYALARC IN Equity,ROYAL ARC ELECTR,1753831600.00,1753831600.00,158.00,16.65,,1017679000.00
APLY IN Equity,ARCHIDPLY IND,1752688950.00,1752688950.00,88.23,,-21.75,5559129000.00
TIPSFILM IN Equity,TIPS FILMS LTD,1749904252.80,1749904252.80,404.80,,-34.58,740399000.00
PRAXIS IN Equity,PRAXIS HOME RETA,1749255070.64,1749255070.64,9.46,,-47.35,1189696000.00
RGIL IN Equity,ROTOGRAPHICS IND,1744519945.00,1744519945.00,132.65,414.53,167.33,8073000.00
LOWVOL1 IN Equity,KTK NF 100 LV 30,1744175133.60,1744175133.60,22.02,,10.88,
AARADHYA IN Equity,AARADHYA DISPOSA,1740387800.00,1740387800.00,123.10,,,1136915000.00
MARUTIIP IN Equity,MARUTI INTERIOR,1740124000.00,1740124000.00,115.24,36.13,-36.58,437015000.00
USHAFIN IN Equity,USHA FINANCIAL S,1739010480.00,1739010480.00,40.00,,-33.33,632220000.00
BFIL IN Equity,BHARAT AGRI FERT,1738933119.00,1738933119.00,32.90,193.53,-54.25,215571000.00
IEML IN Equity,INDIAN EMULSIFIE,1737999968.40,1737999968.40,94.80,9.55,-52.40,1012262000.00
DHPIN IN Equity,DHP INDIA LTD,1737000000.00,1737000000.00,579.00,2.61,1.29,508089000.00
TAHMARE IN Equity,TAHMAR ENTERPRIS,1735489460.00,1735489460.00,11.14,,-50.36,35413000.00
GOLDEN IN Equity,GOLDEN CREST EDU,1730850000.00,1730850000.00,330.00,1064.52,-43.59,3305000.00
AVROIND IN Equity,AVRO INDIA LTD,1730835831.50,1730835831.50,130.03,56.89,-36.74,783248000.00
BYT IN Equity,BINAYAKA TEXTILE,1730450640.00,1730450640.00,2432.80,62.22,15.85,2215303000.00
SILGO IN Equity,SILGO RETAIL LTD,1729206298.12,1729206298.12,70.28,40.04,88.42,164651000.00
ECPL IN Equity,ECOPLAST LTD,1727262500.00,1727262500.00,500.00,20.42,-26.05,1265888000.00
MAITREYA IN Equity,MAITREYA MEDICAR,1726186000.00,1726186000.00,254.75,94.94,-24.22,466620000.00
APEL IN Equity,APLAB LTD,1725483900.00,1725483900.00,74.99,530.93,47.21,636668490.00
ESCORP IN Equity,ESCORP ASSET MAN,1723080905.00,1723080905.00,155.00,10.58,153.68,183098000.00
PARSHVA IN Equity,PARSHVA ENTERPRI,1721558093.55,1721558093.55,168.95,938.61,24.28,247741000.00
APEXECO IN Equity,APEX ECOTECH LTD,1720668600.00,1720668600.00,130.50,16.50,6.10,709553000.00
MNFL IN Equity,MOTHER NUTRI FOO,1717297740.00,1717297740.00,137.00,,,902431000.00
ALPA IN Equity,ALPA LAB,1710811186.00,1710811186.00,81.31,8.77,-31.36,1124519000.00
ISDY IN Equity,ISHAN DYES & CHM,1710106080.14,1710106080.14,65.42,125.81,21.55,1014696000.00
DRONE IN Equity,DRONE DESTINATIO,1707999860.00,1707999860.00,70.00,,-65.99,248974300.00
GPSL IN Equity,GABRIEL PET STRA,1707493700.00,1707493700.00,305.00,109.71,71.35,308438550.00
ABVL IN Equity,ARUNJYOTI BIO VE,1707249960.00,1707249960.00,9.16,,-54.61,278841000.00
DTIL IN Equity,DHUNSERI TEA & I,1707141664.69,1707141664.69,162.47,,-38.13,4563784000.00
NAVKAR IN Equity,NAVKAR URBANSTRU,1705577441.44,1705577441.44,1.52,539.31,-30.84,160560744.87
EY IN Equity,EYANTRA VENTURES,1703535843.75,1703535843.75,848.85,226.93,-11.94,327029000.00
IBLFL IN Equity,IBL FINANCE LTD,1701468720.00,1701468720.00,68.80,,26.82,147786000.00
POSITRON IN Equity,POSITRON ENERGY,1690708980.00,1690708980.00,222.45,,-28.95,1347325000.00
MANEVAA IN Equity,MR NIFTY EV N-A,1687702367.40,1687702367.40,31.43,,5.68,
EMPOW IN Equity,EMPOWER INDIA LT,1687507912.00,1687507912.00,1.45,32.37,-27.50,1235356000.00
RAPPID IN Equity,RAPPID VALVES IN,1687394800.00,1687394800.00,325.00,,-4.41,521246000.00
IPHL IN Equity,INDIAN PHOSPHATE,1686798607.50,1686798607.50,67.50,,-15.89,7148702000.00
SHEETAL IN Equity,SHEETAL UNIVERSA,1684604652.95,1684604652.95,147.05,18.11,104.17,1056747000.00
EXPOEAPL IN Equity,EXPO ENGINEERING,1683286176.00,1683286176.00,73.84,53.90,8.73,1147436832.00
CHEMCRUX IN Equity,CHEMCRUX ENTERPR,1679322456.00,1679322456.00,113.40,42.95,-32.69,700099000.00
DOLLEX IN Equity,DOLLEX AGROTECH,1677849600.00,1677849600.00,42.00,13.51,17.43,2374305000.00
VAS IN Equity,VASWANI INDUSTRI,1677646108.56,1677646108.56,53.52,19.50,6.44,4116359000.00
SAYIND IN Equity,SAYAJI INDUSTRIE,1673536000.00,1673536000.00,66.20,,-25.62,10039464000.00
TIRUSTA IN Equity,TIRUPATI STARCH,1672839603.45,1672839603.45,174.45,22.22,16.22,3862245000.00
RMI IN Equity,REMI EDELSTAHL,1672341020.00,1672341020.00,140.00,57.61,35.38,1385625000.00
LLOYDS IN Equity,LLOYDS LUXURIES,1670456410.00,1670456410.00,70.00,,-26.32,463037000.00
MASE IN Equity,MANGALAM SEEDS L,1667336992.30,1667336992.30,151.85,16.21,-27.10,1031446000.00
HAD IN Equity,HINDUSTAN ADHESI,1664844020.00,1664844020.00,325.40,10.83,-20.85,2848229000.00
UMIYAMRO IN Equity,UMIYA BUILDCON L,1662369039.94,1662369039.94,88.97,28.07,10.40,486078000.00
VJTF IN Equity,VJTF EDUSERVICES,1661440000.00,1661440000.00,94.40,28.61,-8.79,169621000.00
BLUEWATE IN Equity,BLUE WATER LOGIS,1657150000.00,1657150000.00,150.65,11.29,,1961804000.00
CRLB IN Equity,CORAL LABS LTD,1655542840.00,1655542840.00,463.40,6.85,-39.08,1150053000.00
SLVR IN Equity,SILVERLINE TECH,1654390647.68,1654390647.68,10.61,,-59.64,337091000.00
IVP IN Equity,IVP LTD,1653234706.30,1653234706.30,160.10,14.61,-23.54,5383200000.00
SKM IN Equity,SK MINERALS & AD,1653012000.00,1653012000.00,135.05,,,2157276000.00
SAFE IN Equity,SODHANI ACADEMY,1645855000.00,1645855000.00,289.00,74.48,76.24,20508000.00
CLFL IN Equity,RUCHI INFRASTRUC,1645093845.74,1645093845.74,6.97,,-41.33,583622000.00
SRSOLTD IN Equity,SILICON RENTAL S,1644364800.00,1644364800.00,144.00,12.46,-47.30,1019389000.00
SUPL IN Equity,SUPERHOUSE LTD,1643937750.00,1643937750.00,149.11,12.84,-28.52,6653095000.00
HBED IN Equity,HB ESTATE DEVELO,1643536078.00,1643536078.00,74.00,13.94,-24.49,1171306000.00
DN50ETF IN Equity,DSP N50 ETF,1641029040.00,1641029040.00,273.87,,12.11,
ATVOENT IN Equity,ATVO ENTERPRISES,1633662018.90,1633662018.90,15.27,1527.00,52.85,44480000.00
MANAS IN Equity,MANAS PROPERTIES,1622400000.00,1622400000.00,390.00,5.87,0.00,0.00
KANC IN Equity,KANCHI KARPOORAM,1621791704.85,1621791704.85,373.35,11.82,-29.96,1514998000.00
MAG IN Equity,MAGNUM VENTURES,1621764361.14,1621764361.14,24.42,,-37.91,4564261000.00
AERON IN Equity,AERON COMPOSITE,1620304000.00,1620304000.00,95.20,1.14,-48.78,2207614000.00
VR IN Equity,V R INFRASPACE L,1616160000.00,1616160000.00,182.00,,-36.79,183680000.00
BG IN Equity,BHARAT GEARS LTD,1616119854.50,1616119854.50,105.25,50.60,6.54,6475319000.00
APIN IN Equity,AMBAR PROTEIN IN,1610000000.00,1610000000.00,280.00,16.69,43.74,4216230000.00
CIFH IN Equity,CORAL INDIA FIN,1608864822.00,1608864822.00,39.92,9.20,-29.33,115835000.00
SIPM IN Equity,SOUTH INDIA PAPE,1608750000.00,1608750000.00,85.80,,-19.85,3693147000.00
MAALM IN Equity,MANAKSIA ALUMINI,1608205587.00,1608205587.00,24.54,26.67,-21.65,5025187000.00
CZNI IN Equity,CITIZEN INFOLINE,1608125535.00,1608125535.00,297.95,4965.83,1203.37,40494000.00
LHO IN Equity,LAHOTI OVERSEAS,1607349650.00,1607349650.00,55.10,12.24,17.69,4912139000.00
WEIZ IN Equity,WEIZMANN LTD,1603613682.00,1603613682.00,103.50,,-24.56,1172453000.00
JHVRC IN Equity,JHAVERI CREDITS,1603090982.40,1603090982.40,178.40,66.07,-33.93,372477000.00
VISAMAN IN Equity,VISAMAN GLOBAL S,1602191884.00,1602191884.00,116.00,89.23,170.08,3079277000.00
BANKIETF IN Equity,ICICI NIFTY BANK,1601070510.00,1601070510.00,61.10,,18.00,
AVIANSH IN Equity,AVI ANSH TEXTILE,1600358485.00,1600358485.00,114.50,38.95,5.53,1207064000.00
AIROLAM IN Equity,AIRO LAM LTD,1597713000.00,1597713000.00,106.50,59.17,-17.51,2142271000.00
AARNAV IN Equity,AARNAV FASHIONS,1597464910.96,1597464910.96,37.82,17.27,-40.78,3790837000.00
AUEL IN Equity,AUSOM ENTERPRISE,1597361472.00,1597361472.00,117.25,8.17,16.78,23925335000.00
SHAHLON IN Equity,SHAHLON SILK IND,1596727806.00,1596727806.00,17.88,45.85,-11.17,2512653000.00
AARTECH IN Equity,AARTECH SOLONICS,1596143640.00,1596143640.00,50.24,57.75,-36.02,363523000.00
BAL IN Equity,BHAGWATI AUTOCST,1595754901.80,1595754901.80,553.95,25.91,22.83,1399444000.00
ARL IN Equity,AURO LABS LTD,1595208375.00,1595208375.00,255.95,86.76,-4.59,193984000.00
SCBL IN Equity,SOMI CONVEYOR,1595083218.96,1595083218.96,135.41,29.06,-33.65,1012377000.00
TILAK IN Equity,TILAK VENTURES L,1593640747.44,1593640747.44,2.94,21.00,-16.71,218451500.00
WTI IN Equity,WINSOME TEXTILE,1592537000.00,1592537000.00,80.35,5.67,-21.23,8652334000.00
ORCL IN Equity,CREDENT GLOBAL F,1591181231.60,1591181231.60,30.92,,-18.05,146537000.00
SHEEL IN Equity,SHEEL BIOTECH LT,1590551782.50,1590551782.50,78.15,,,1017525000.00
MAUL IN Equity,MAURIA UDYOG LTD,1590408000.00,1590408000.00,11.94,8.72,-0.25,4087133000.00
TITANIN IN Equity,TITAN INTECH LTD,1589213882.26,1589213882.26,1.93,27.24,-12.31,270151847.00
NRVANDAN IN Equity,N R VANDANA TEX,1588705973.80,1588705973.80,68.20,,,2708025000.00
AICH IN Equity,AI CHAMPDANY IND,1588435371.15,1588435371.15,51.65,,-10.95,442725000.00
TCP IN Equity,TAINWALA CHEMS,1588204803.43,1588204803.43,169.61,32.31,-38.22,164170000.00
RELIABLE IN Equity,RELIABLE DATA SE,1587216000.00,1587216000.00,153.80,17.60,115.21,1305862000.00
